org_name,person,served_raw,start_year,end_year,ongoing
Southwest CDC,Lorraine Thomas - Operations Manager,2011-present,2011,,yes
Tacony CDC,Georgeanne Labovitz- President,current,,,yes
The Enterprise Center CDC,Della Clark - President,1992-present,1992,,yes
The Enterprise Center CDC,Larry Bell - First Executive Director,1989-1992,1989,1992,
The Maple Corporation,Jacquelyn Sims - President / Executive Director,present,,,yes
Tioga United,Joy Gary - NAC Coordinator,present,,,yes
Tioga United,Terrell Brown - NAC Outreach Coordinator,present,,,yes
Women’s Community Revitalization Project (WCRP),Nora Lichtash - Founder / Executive Director,1986-2025,1986,2025,
Women’s Community Revitalization Project (WCRP),Lorissa Luciani - Executive Director,2025-present,2025,,yes
Wynnefield Overbrook Revitalization Corporation,Gerald Murphy - Executive Director,present,,,yes
Wynnefield Overbrook Revitalization Corporation,Matthew Walker - Executive Director (likely prior),~earlier,,,
Xiente,Michelle Carrera - CEO,current,,,yes
Spring Garden CDC,Patricia Freeland - President / Board Member,present,,,yes
Francisville Neighborhood Development Corporation,"Penelope Giles - Founder, Executive Director / President",2002-present,2002,,yes
Mayfair CDC,Luka Lakuriqi - Executive Director,~2017-present,2017,,yes
Mayfair CDC,Marc Collazzo - CDC Director / Executive Director (Mayfair),~2018-2020,2018,2020,
South of South Neighborhood Association,Morgan Rodriguez - Board Chairperson,present,,,yes
Allegheny West Foundation,Ronald E. Hinton Jr. - President & CEO,present,,,yes
Village of Arts and Humanities,Lily Yeh - Founder / Executive Director,1986-~2004,1986,2004,
Village of Arts and Humanities,Aviva Kapust - Executive Director,2013-~2022,2013,2022,
Village of Arts and Humanities,Ineda (Corrien) Elmore-Stratton - Executive Director,~2023-2024,2023,2024,
Village of Arts and Humanities,Melody Keim - Interim Executive Director,2025-present,2025,,yes
The Welcoming Center,Anuj Gupta,present,,,yes
The Welcoming Center,Anne O’Callaghan,founder,,,
Faith CDC,Mehboob Khan,,,,
Greater Germantown Housing Development Corporation,Gfs Esq - Trustee,,,,
Hunting Park Community Development Corporation,Rev Luis A Cortes Jr - Board Vice Chair,,,,
Kensington Area Revitalization Project,Marc D Collazzo,,,,
Mt. Airy Village Development Corporation,Isaac Ewell,,,,
Olde Kensington Redevelopment Corporation,John Williams,,,,
Roxborough Development Corporation,Jax Cusack,,,,
Tenth Memorial Non-Profit Development Corporation,Rev William B Moore,,,,
West Oak Lane CDC,Donald T Stafford,,,,
Yorktown CDC,Renee V Drayton,,,,
Fairmount CDC(Turned to Park to Broad),Patrick Sherlock - Exec Director,,,,
Friends Rehabilitation Program,Andrew Anderson - Executive Director,,,,
Strawberry Mansion CDC,Tonnetta Graham - Executive Director,,,,
United Community Development Corporation,Gina Snyder,,,,
Manayunk Development Corporation,"Gwen Mccauley - 
Executive Director",,,,
Urban Resources Development Corporation,Joseph Waldo,2002-present,2002,,yes
Eastwick United CDC,Carolyn Moseley,2023-present,2023,,yes
