org_name,ein,year,pdf_url
Asociación Puertorriqueños en Marcha (APM),231930630,2019,https://projects.propublica.org/nonprofits/download-filing?path=08_2020_prefixes_20-23%2F231930630_201906_990_2020082017247606.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2018,https://projects.propublica.org/nonprofits/download-filing?path=11_2019_prefixes_22-23%2F231930630_201806_990_2019110816831231.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2017,https://projects.propublica.org/nonprofits/download-filing?path=05_2018_prefixes_20-23%2F231930630_201706_990_2018052115326152.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F231930630_201606_990_2017081714654439.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2015,https://projects.propublica.org/nonprofits/download-filing?path=2016_07_EO%2F23-1930630_990_201506.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2014,https://projects.propublica.org/nonprofits/download-filing?path=2015_03_EO%2F23-1930630_990_201406.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2013,https://projects.propublica.org/nonprofits/download-filing?path=2014_05_EO%2F23-1930630_990_201306.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2012,https://projects.propublica.org/nonprofits/download-filing?path=2013_05_EO%2F23-1930630_990_201206.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2011,https://projects.propublica.org/nonprofits/download-filing?path=2012_06_EO%2F23-1930630_990_201106.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2010,https://projects.propublica.org/nonprofits/download-filing?path=2011_06_EO%2F23-1930630_990_201006.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2009,https://projects.propublica.org/nonprofits/download-filing?path=2010_06_EO%2F23-1930630_990_200906.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2008,https://projects.propublica.org/nonprofits/download-filing?path=2009_10_EO%2F23-1930630_990_200806.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2007,https://projects.propublica.org/nonprofits/download-filing?path=2008_06_EO%2F23-1930630_990_200706.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2006,https://projects.propublica.org/nonprofits/download-filing?path=2008_05_EO%2F23-1930630_990_200606.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2005,https://projects.propublica.org/nonprofits/download-filing?path=2006_07_EO%2F23-1930630_990_200506.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2004,https://projects.propublica.org/nonprofits/download-filing?path=2005_11_EO%2F23-1930630_990_200406.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2003,https://projects.propublica.org/nonprofits/download-filing?path=2004_01_EO%2F23-1930630_990_200306.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2002,https://projects.propublica.org/nonprofits/download-filing?path=2003_02_EO%2F23-1930630_990_200206.pdf
Asociación Puertorriqueños en Marcha (APM),231930630,2001,https://projects.propublica.org/nonprofits/download-filing?path=2002_02_EO%2F23-1930630_990_200106.pdf
Beech Interplex,521693162,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_01_2024_prefixes_52-54%2F521693162_202212_990_2024011022213021.pdf
Beech Interplex,521693162,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F521693162_202112_990_2023051021197831.pdf
Beech Interplex,521693162,2020,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_10_2022_prefixes_51-56%2F521693162_202012_990_2022102620563372.pdf
Beech Interplex,521693162,2019,https://projects.propublica.org/nonprofits/download-filing?path=03_2021_prefixes_52-57%2F521693162_201912_990_2021030217782109.pdf
Beech Interplex,521693162,2018,https://projects.propublica.org/nonprofits/download-filing?path=12_2019_prefixes_48-54%2F521693162_201812_990_2019122616976634.pdf
Beech Interplex,521693162,2017,https://projects.propublica.org/nonprofits/download-filing?path=03_2019_prefixes_51-56%2F521693162_201712_990_2019030416140748.pdf
Beech Interplex,521693162,2016,https://projects.propublica.org/nonprofits/download-filing?path=01_2018_prefixes_52-54%2F521693162_201612_990_2018010315074483.pdf
Beech Interplex,521693162,2015,https://projects.propublica.org/nonprofits/download-filing?path=2017_03_EO%2F52-1693162_990_201512.pdf
Beech Interplex,521693162,2014,https://projects.propublica.org/nonprofits/download-filing?path=2016_01_EO%2F13-136482_19121_521693162.pdf
Beech Interplex,521693162,2013,https://projects.propublica.org/nonprofits/download-filing?path=2014_12_EO%2F52-1693162_990_201312.pdf
Beech Interplex,521693162,2012,https://projects.propublica.org/nonprofits/download-filing?path=2013_12_EO%2F52-1693162_990_201212.pdf
Beech Interplex,521693162,2011,https://projects.propublica.org/nonprofits/download-filing?path=2012_12_EO%2F52-1693162_990_201112.pdf
Beech Interplex,521693162,2010,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F52-1693162_990_201012.pdf
Beech Interplex,521693162,2009,https://projects.propublica.org/nonprofits/download-filing?path=2010_10_EO%2F52-1693162_990_200912.pdf
Beech Interplex,521693162,2008,https://projects.propublica.org/nonprofits/download-filing?path=2009_12_EO%2F52-1693162_990_200812.pdf
Beech Interplex,521693162,2007,https://projects.propublica.org/nonprofits/download-filing?path=2009_01_EO%2F52-1693162_990_200712.pdf
Beech Interplex,521693162,2006,https://projects.propublica.org/nonprofits/download-filing?path=2007_12_EO%2F52-1693162_990_200612.pdf
Beech Interplex,521693162,2005,https://projects.propublica.org/nonprofits/download-filing?path=2006_08_EO%2F52-1693162_990_200512.pdf
Beech Interplex,521693162,2004,https://projects.propublica.org/nonprofits/download-filing?path=2005_10_EO%2F52-1693162_990_200412.pdf
Beech Interplex,521693162,2003,https://projects.propublica.org/nonprofits/download-filing?path=2004_08_EO%2F52-1693162_990_200312.pdf
Beech Interplex,521693162,2002,https://projects.propublica.org/nonprofits/download-filing?path=2003_05_EO%2F52-1693162_990_200212.pdf
Beech Interplex,521693162,2001,https://projects.propublica.org/nonprofits/download-filing?path=2002_07_EO%2F52-1693162_990_200112.pdf
Called To Serve CDC,464404323,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_01_2024_prefixes_46-46%2F464404323_202212_990_2024010522190046.pdf
Called To Serve CDC,464404323,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F464404323_202112_990_2023011020750121.pdf
Called To Serve CDC,464404323,2020,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_10_2022_prefixes_46-47%2F464404323_202012_990_2022102520555179.pdf
Called To Serve CDC,464404323,2018,https://projects.propublica.org/nonprofits/download-filing?path=10_2019_prefixes_46-47%2F464404323_201812_990EZ_2019102516781050.pdf
Called To Serve CDC,464404323,2017,https://projects.propublica.org/nonprofits/download-filing?path=10_2018_prefixes_46-47%2F464404323_201712_990EZ_2018103115853988.pdf
Called To Serve CDC,464404323,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F464404323_201612_990EZ_2017100214793123.pdf
Called To Serve CDC,464404323,2015,https://projects.propublica.org/nonprofits/download-filing?path=2016_10_EO%2F46-4404323_990EZ_201512.pdf
Called To Serve CDC,464404323,2014,https://projects.propublica.org/nonprofits/download-filing?path=2015_08_EO%2F46-4404323_990EZ_201412.pdf
Centennial Parkside CDC,474815728,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F474815728_202112_990_2023030321023608.pdf
Centennial Parkside CDC,474815728,2019,https://projects.propublica.org/nonprofits/download-filing?path=02_2021_prefixes_47-47%2F474815728_201912_990_2021021817718203.pdf
