org_name,ein,title,source,url,date
Asociación Puertorriqueños en Marcha (APM),231930630,Resource guide for the Latino community in Philadelphia - Impacto Media,Impacto Media,https://news.google.com/rss/articles/CBMitAFBVV95cUxOa0J2U1o5WDdXVF9OWk5vcTd4cW9WM2ZwSl91Y3pKWlNocW1RRU1oRU9RWWJhazQ4MTJycmozSXIzWWlKU1ktaldJNTYzb2VEWUFmVTNlNG1tTGVKX3pYbk1DelhQSkw3bUw5US1jM0stT0JveTIxNmFsSHVkcEFLVUlUc3RaT1NYZGhGTjVsQklDb2d0UlRRT05hd0dKTUlSYXhkbFVDVWdwOUJYMVZRd25CZV_SAbQBQVVfeXFMTmtCdlNaOVg3V1RfTlpOb3E3eHFvVjNmcEpfdWN6SlpTaHFtUUVNaEVPUVliYWs0ODEycnJqM0lyM1lpSlNZLWpXSTU2M29lRFlBZlUzZTRtbUxlSl96WG5NQ3pYUEpMN21MOVEtYzNLLU9Cb3kyMTZhbEh1ZHBBS1VJVHN0Wk9TWGRoRk41bEJJQ29ndFJUUU9OYXdHSk1JUmF4ZGxVQ1VncDlCWDFWUXduQmVf?oc=5,2026-07-03
Asociación Puertorriqueños en Marcha (APM),231930630,Sugar Cane Festival honors Puerto Rican roots in Philadelphia - Impacto Media,Impacto Media,https://news.google.com/rss/articles/CBMinwFBVV95cUxNejVoanROaVJsRW9fdUNiaDdpc2VMblBsekIxRkZjakNhQWdJR09rWVNuVTFZUmJUWUxZOUdFejFfZzh5Y29vVlVwaEJyb2xEVnNCLVR3R1UxUDY1YzBiZFNGY2ZUSTJSN2RqVzV3cjZGSC15VF9hd0RKSU5Yc1FxVUY3ZngwY1hTcnYtN3VxMjBWR2tGNE5wdDRDckplMEnSAZ8BQVVfeXFMTXo1aGp0TmlSbEVvX3VDYmg3aXNlTG5QbHpCMUZGY2pDYUFnSUdPa1lTblUxWVJiVFlMWTlHRXoxX2c4eWNvb1ZVcGhCcm9sRFZzQi1Ud0dVMVA2NWMwYmRTRmNmVEkyUjdkalc1d3I2RkgteVRfYXdESklOWHNRcVVGN2Z4MGNYU3J2LTd1cTIwVkdrRjROcHQ0Q3JKZTBJ?oc=5,2026-06-12
Asociación Puertorriqueños en Marcha (APM),231930630,Jennifer Rodríguez: Latino leadership and economic development in Philadelphia - Impacto Media,Impacto Media,https://news.google.com/rss/articles/CBMitAFBVV95cUxOaXN0OVlSSmZkV1ZfUUM1V0piN0hlaWhoaVZSM1V5dEdhbU9mb3VWU0xBNEYzeVZvaHpCNlY0a0dsd2dRV0xsQXBzUDBnZk9UaGprb3lYSFV2eTFkTFpxS3JhX1lEd1ZkTkpZUnRsNjhLRWd0MVhBenhQM3QtYjd0VF9hbnRKWklyOS1GSTFsNklIakVjanlaeVJpZmVNdVlRTXIxaW9Sb3F2cVp0QkhlLUJWOHrSAbQBQVVfeXFMTmlzdDlZUkpmZFdWX1FDNVdKYjdIZWloaGlWUjNVeXRHYW1PZm91VlNMQTRGM3lWb2h6QjZWNGtHbHdnUVdMbEFwc1AwZ2ZPVGhqa295WEhVdnkxZExacUtyYV9ZRHdWZE5KWVJ0bDY4S0VndDFYQXp4UDN0LWI3dFRfYW50SlpJcjktRkkxbDZJSGpFY2p5WnlSaWZlTXVZUU1yMWlvUm9xdnFadEJIZS1CVjh6?oc=5,2026-03-14
Asociación Puertorriqueños en Marcha (APM),231930630,Presente on the Parkway: Photos from Philadelphia’s 2025 Puerto Rican Day Parade - Billy Penn at WHYY,Billy Penn at WHYY,https://news.google.com/rss/articles/CBMisgFBVV95cUxOZVJmRVA5aS1rckZEYlRzTzVpbTNod3JiN1Z4M09tM1NqNmZ1a2RFQWJTaEY0YTB0ZGFtd3RENmYwRzNaY2tNNDBjTkxZR2FOLUhtbElvYjJRUzc1Z0lNVlZoUkFkdG9uNTl1YXkwbnhrdjNDN0NKeXF1Ui1OQzM2X2lxOUE5SzdoczR4WHR3WlRodGdNRmFSb051NGYxU2xUSWdtMDFqQjJaSEZIdnU0V19R?oc=5,2025-09-29
Asociación Puertorriqueños en Marcha (APM),231930630,"“We have the poner. We just need to exercise it, together.” Nilda Ruiz - Impacto Media",Impacto Media,https://news.google.com/rss/articles/CBMipAFBVV95cUxOM3NXXzhGaWNKMFdjNlE5UnI2TmVVVjdEQ0hnd1h0dlExNEJONEFKczZRUVFvdHFaTFVPOUFObVo0TjRSRFJQYXEzdVYxSWhtcWdrMHplUHRIdE96TGhob3BuOEtnZkZIYjV4LXNiMHprWTA0UW80bFFPSW4tTWVnekRiLXk2UTFzTTRnR20zYlpJUHlXVU93VE8wZ0tPRER5S2xnU9IBpAFBVV95cUxOM3NXXzhGaWNKMFdjNlE5UnI2TmVVVjdEQ0hnd1h0dlExNEJONEFKczZRUVFvdHFaTFVPOUFObVo0TjRSRFJQYXEzdVYxSWhtcWdrMHplUHRIdE96TGhob3BuOEtnZkZIYjV4LXNiMHprWTA0UW80bFFPSW4tTWVnekRiLXk2UTFzTTRnR20zYlpJUHlXVU93VE8wZ0tPRER5S2xnUw?oc=5,2025-09-12
Asociación Puertorriqueños en Marcha (APM),231930630,Plans to develop “Paseo Boricua” and restore the historic Teatro Puerto Rico unveiled by APM - Impacto Media,Impacto Media,https://news.google.com/rss/articles/CBMie0FVX3lxTE8yb2p0OGV3TlJCV2czLWtyOUpfMVo0c2JnQl9uTHFkTHNFQkZmd3VXZlQ3anh2d1hqMW1WVzl3NlN3S1A3d2ItdlRHM1d4Yy1RVnhwRjdGU0JobktFV3NlOUUxbUtfazhLbU1JX0phWTNONUhpWXFLX2VXb9IBe0FVX3lxTE8yb2p0OGV3TlJCV2czLWtyOUpfMVo0c2JnQl9uTHFkTHNFQkZmd3VXZlQ3anh2d1hqMW1WVzl3NlN3S1A3d2ItdlRHM1d4Yy1RVnhwRjdGU0JobktFV3NlOUUxbUtfazhLbU1JX0phWTNONUhpWXFLX2VXbw?oc=5,2025-09-06
Asociación Puertorriqueños en Marcha (APM),231930630,Pennrose Announces Maria Rodriguez as Vice President & Legal Counsel - Yield PRO,Yield PRO,https://news.google.com/rss/articles/CBMiWEFVX3lxTE03c3JCMTgtZzM4NzBnTFJLN0dvSExuODYtQ1oxSVlfN1hXcERRanF5aDVRYW1Mc254X1d0MER3QVUydzJ3d19NVDVOUnB1dnJIclFtMG80UXk?oc=5,2025-09-05
Asociación Puertorriqueños en Marcha (APM),231930630,"Social Worker Has Passion for Protecting Young People, ‘Making a Difference’ in Their Lives - CatholicPhilly",CatholicPhilly,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNNjR2bGRrdlRqbkthVm81QTZuLUxkODBNaXloSlo0TExZTEFWZk5fWnpmOVlxMjRtLXV4RGVjRzFDVXlGTWxkYVlXc1lFQkxiOFRSSm9qYmQ2X2ZFUUxhQ1RVeTQ2UndPOUE1OWk2ejN0ckh2ZE9Ec0lCNkxhRXk5U0JZRTkwOUVpNXZxZ19XMldEdFlyWmR0UTFGNG5kaEZmZW80cWVoRHJOcG5ya21mVzBqVGpad2dlaVJudjhIWE1MOVJrb1hOOG1PQWFoVGl2YUtN?oc=5,2024-10-30
Beech Interplex,521693162,"18 Philly nonprofits get boost through efforts from Beech Companies, Inc. - The Philadelphia Tribune",The Philadelphia Tribune,https://news.google.com/rss/articles/CBMi9wFBVV95cUxOamFYaW0zWXJfMDllZjN6OFZtVUZoUXU0SksxT0tTRk1Qcmd3czIwWUhpTmZ2SHNMQ2NBa19sblRHaEJJR09XMmpuQzd0YmRiWUduVWJjR1lIUG1JRDVwTElPbmxrZERTQnVXUEhyUEJwS2tydk5tbzdtRW1DZWV5UzV1WVRyZ0RxT0VVZjZSOE1mNGticVZ2WU5ESHRDcG9RYTQxam1lVDlScnQ3cTc4UWJHTWJpdTMtNW92Njhzb04tQUNEUzJIaW5zM3ktMGhfOUJHLTJrREtmNUl5czRkVVFHcVJvOUI2d0p4T3dyVWpTY1g3aUow?oc=5,2025-02-11
Beech Interplex,521693162,Investors move to seize student housing near Temple from community developer Beech Co. - Inquirer.com,Inquirer.com,https://news.google.com/rss/articles/CBMiugFBVV95cUxPMTR1V0J1SXg1R1lUOE1RaFk2cWpvbVFZOHhkQmtKbTRRcl9FSms3V0ZNc0ZjT200Q0huWEM1aGdrMHVyN19UMmRVQ0Fpb0lWdUowZlBMaWkwOS1zN3FUYkVaSnNuQ3lwWERwbks2d256M25EbGF1YkszbFBLbVplMjdzVl9QbFozazRKdE1RQzV3azNSZWt5RDNrQ3VKdHVOR3BXY3RVZzFMWDBVNGUtYTRSYXVqdU1wM1E?oc=5,2024-11-06
Beech Interplex,521693162,Temple welcomes two new members to its Board of Trustees - Temple Now,Temple Now,https://news.google.com/rss/articles/CBMikwFBVV95cUxQRUdmM0pEWXJ2MTQzZzdEUmRkVzZCZXhVaTVHWXJHNWRNaHNlNVN6V0VMWElxYTZOUmdQZThwcVpXNmJqb0RZOHRMZTRDbkZfT0l1QVJxRkQyV3NGQVRyY1NnYlhaVUhfUndZWWhaYWQ5TnNUZHNlcXZBQ3k1V3pNYzVjMEI5NFR6NkJadC1YQWIzTUU?oc=5,2024-01-03
Beech Interplex,521693162,Rebuild project: Cecil B. Moore Recreation Center - City of Philadelphia (.gov),City of Philadelphia (.gov),https://news.google.com/rss/articles/CBMiiAFBVV95cUxQT2d3NzI0MEZzYWlydTIxZWIzaENRZklVdUtZNGRhWGswMjlsbWpsU0ZzT1h1TnBFRkx2SXRKMWNTaVJULU92Y2RVMExKQ3daeEZTa0FENHROVWVINm9HZ2tuNzNTMkhVODZuMEpvTmFGSHZSVU5hT0hUcE1rZUo5TnN2aTRiRlp5?oc=5,2019-04-09
Beech Interplex,521693162,Cecil B. Moore—A Different Type of Civil Rights Story - The Philadelphia Sunday Sun,The Philadelphia Sunday Sun,https://news.google.com/rss/articles/CBMilAFBVV95cUxOczBjckxrTlBzOTlEMmcyejIzZ3lqVy1BSUZ6YUtHTHJJYU5FbVl6ZmpQNUZFdlBTVlVBZElUZjhzaWtQMnBydGdBdDlNLTdBMGlWNi1qTk92d01vY3RfbGJuSXBZYnBLUUk4MjlvTWFGV0JWQ3hqSDJ1Uk0yNkFabTNiOXptX1ltcDJXbTBnT3JCaHJ6?oc=5,2016-02-19
Beech Interplex,521693162,On Ridge Avenue progress would go by the initials PHA - Inquirer.com,Inquirer.com,https://news.google.com/rss/articles/CBMipwFBVV95cUxPeFJESndQWjBEYXlXcDQ4dTl3S1lCbEJHbzFKeEtuX1FXb3ltVHNuRjd0RERSb0FYNEg2czVmQlRUNzloWDdPaXJNRXowLWpMS1dmM3FlNU1EcGhrYnB5T0VJb3NHZWJqeW9XcTdKNFk2LXN5SzJXcmxvOWYzMzFiT3AxbFZJZnR5Mzg3YkY0WlV1MnFBT1dVXzlfUTRUdUp3OHlJT2JEbw?oc=5,2015-06-03
